company_id,score_final,score_bruto,clasificacion,tendencia,score_trayectoria,alerta_temprana,alerta_severidad,alerta_activa_ultimo_mes,primera_alerta,giro_detectado,primer_giro,naturaleza_caida,caida_score_3m,giro_sigmas,delta_score_ultimo_mes,motivo_cambio_ultimo_mes,cambio_real_ultimo_mes,cambio_cobertura_ultimo_mes,group_id,meses_evaluados,meses_activos,evidencia_efectiva,cobertura_media,cobertura_reciente,confianza,apto_ranking,score_ultimo_mes,eventos_detectados,eventos_totales,meses_anticipacion,meses_anticipacion_nivel,meses_ganados_a_nivel
COMP_0705,76.79,79.28,SALUDABLE,ESTABLE,46.8,1,vigilancia,0,2025-08,1,2025-08,bache,22.29,1.75,1.47,trayectoria +1.0,1.48,0.0,GROUP_0067,18,18,6.738,0.96,1.0,alta,1,83.55,,,,,
COMP_0281,76.78,80.82,SALUDABLE,ESTABLE,57.21,1,vigilancia,0,2026-02,1,2026-02,bache,10.99,1.4,1.11,colchon +1.9; trayectoria -0.8,1.12,0.0,GROUP_0127,11,11,4.15,0.935,1.0,media,1,84.7,,,,,
COMP_0216,76.74,79.22,SALUDABLE,MEJORANDO,67.35,1,vigilancia,0,2026-01,1,2026-01,bache,22.9,1.69,2.1,colchon +1.6; trayectoria +0.5,2.09,0.0,GROUP_0067,18,18,6.738,0.96,1.0,alta,1,91.81,,,,,
COMP_0304,76.64,80.66,SALUDABLE,ESTABLE,57.17,1,vigilancia,0,2026-02,1,2026-02,caida_estructural,9.27,1.37,0.43,colchon +2.3; trayectoria -1.9,0.43,0.0,GROUP_0127,11,11,4.15,0.935,1.0,media,1,84.29,,,,,
COMP_0630,76.52,79.07,SALUDABLE,MEJORANDO,66.49,1,vigilancia,0,2025-08,1,2025-08,bache,28.96,1.85,1.73,trayectoria +1.8,1.75,0.0,GROUP_0247,17,17,6.483,0.958,1.0,alta,1,88.23,,,,,
COMP_1183,76.52,79.13,SALUDABLE,ESTABLE,48.88,1,vigilancia,0,2026-02,1,2026-02,caida_estructural,7.73,1.83,-1.32,"colchon +4.0; liquidez +2.9 (cambio dominado por datos nuevos, no por comportamiento)",1.01,11.67,GROUP_0018,20,20,6.37,0.957,0.977,alta,1,85.76,,,,,
COMP_1048,76.48,78.94,SALUDABLE,MEJORANDO,73.02,1,vigilancia,0,2025-12,1,2025-12,bache,29.42,2.28,1.42,colchon +1.4,1.42,0.0,GROUP_0067,18,18,6.738,0.96,1.0,alta,1,94.67,,,,,
COMP_0036,76.24,78.76,SALUDABLE,DETERIORANDO,41.41,1,vigilancia,0,2025-08,1,2025-08,bache,9.09,1.49,2.31,colchon +1.3; trayectoria +1.0,2.3,0.0,GROUP_0103,17,17,6.483,0.958,1.0,alta,1,79.76,,,,,
COMP_0769,76.22,83.71,SALUDABLE,MEJORANDO,68.35,0,,0,,0,,,,,-1.26,trayectoria -4.4; colchon +1.5,-2.84,0.0,GROUP_0114,6,6,2.182,0.88,0.88,media,1,82.91,,,,,
COMP_0517,76.17,78.6,SALUDABLE,DETERIORANDO,35.95,0,,0,,0,,,,,-3.86,liquidez -4.1,-3.85,0.0,GROUP_0165,18,18,6.738,0.96,1.0,alta,1,78.81,,,,,
COMP_0725,76.09,78.36,SALUDABLE,DETERIORANDO,30.53,1,vigilancia,1,2025-01,1,2026-08,caida_estructural,12.08,2.73,-4.77,liquidez -3.1; deuda_comercial -2.8,-4.76,0.0,GROUP_0222,20,20,7.167,0.964,1.0,alta,1,65.99,,,,,
COMP_0310,75.82,78.05,SALUDABLE,DETERIORANDO,32.27,1,vigilancia,0,2026-07,1,2026-07,bache,8.33,1.5,-0.39,colchon -1.5; trayectoria +1.2,-0.4,0.0,GROUP_0158,22,22,7.192,0.948,0.93,alta,1,74.7,,,,,
COMP_1216,75.77,79.63,SALUDABLE,MEJORANDO,61.3,1,vigilancia,0,2026-02,1,2026-02,bache,18.25,1.77,-3.87,liquidez -2.7; trayectoria -0.8,-3.87,0.0,GROUP_0127,11,11,4.15,0.935,1.0,media,1,80.65,,,,,
COMP_0493,75.59,80.95,SALUDABLE,DETERIORANDO,34.71,1,vigilancia,1,2026-08,1,2026-08,caida_estructural,6.07,1.47,-36.75,liquidez -17.1; colchon -12.2,-36.75,0.0,GROUP_0126,8,8,2.961,0.91,0.97,media,1,48.91,,,,,
COMP_1270,75.56,79.38,SALUDABLE,ESTABLE,50.14,1,vigilancia,1,2026-08,1,2026-08,bache,10.49,1.36,-1.65,colchon -1.1; trayectoria -0.5,-1.66,0.0,GROUP_0020,11,11,4.15,0.935,1.0,media,1,75.44,,,,,
COMP_0635,75.44,79.24,SALUDABLE,ESTABLE,56.98,1,vigilancia,0,2026-02,1,2026-02,bache,11.81,1.75,0.8,eficiencia +2.0; colchon -1.4,0.81,0.0,GROUP_0127,11,11,4.15,0.935,1.0,media,1,79.75,,,,,
COMP_0097,75.16,80.41,SALUDABLE,ESTABLE,48.78,0,,0,,0,,,,,-1.35,trayectoria -3.0; colchon +1.6,-1.35,0.0,GROUP_0170,8,8,2.961,0.91,0.97,media,1,82.91,,,,,
COMP_0298,75.12,77.63,SALUDABLE,ESTABLE,55.48,1,vigilancia,1,2026-06,1,2026-06,bache,9.05,1.53,8.14,liquidez +2.7; colchon +2.5,8.13,0.0,GROUP_0063,16,16,6.197,0.955,1.0,alta,1,80.2,,,,,
COMP_0434,74.93,80.13,SALUDABLE,DETERIORANDO,29.04,1,vigilancia,0,2025-10,1,2025-10,bache,24.77,2.42,,,,,GROUP_0134,8,8,2.961,0.91,0.97,media,1,58.49,0.0,1.0,,,
COMP_0502,74.93,77.06,SALUDABLE,ESTABLE,48.8,1,vigilancia,0,2025-03,1,2025-03,bache,19.62,1.66,24.21,liquidez +17.1; trayectoria +3.5,24.22,0.0,GROUP_0098,22,22,7.216,0.93,1.0,alta,1,83.79,,,,,
COMP_0449,74.88,76.93,SALUDABLE,ESTABLE,49.0,0,,0,,0,,,,,-1.46,trayectoria -1.1,-1.48,0.0,GROUP_0017,22,22,7.507,0.967,1.0,alta,1,81.0,,,,,
COMP_1063,74.83,76.97,SALUDABLE,DETERIORANDO,41.69,1,vigilancia,0,2025-01,1,2026-05,bache,7.01,1.39,-7.4,deuda_comercial -3.6; liquidez -2.7,-7.39,0.0,GROUP_0222,20,20,7.167,0.964,1.0,alta,1,74.82,,,,,
COMP_1132,74.83,81.85,SALUDABLE,ESTABLE,54.98,1,vigilancia,1,2026-08,1,2026-08,caida_estructural,8.6,1.79,-3.34,liquidez -5.8; trayectoria -4.0,-10.55,0.0,GROUP_0114,6,6,2.182,0.88,0.88,media,1,76.4,,,,,
COMP_0231,74.77,77.12,SALUDABLE,ESTABLE,53.66,1,vigilancia,1,2026-04,1,2026-04,caida_estructural,14.09,1.84,-9.06,colchon -3.8; eficiencia -3.2,-9.07,0.0,GROUP_0108,20,20,6.502,0.964,1.0,alta,1,64.92,,,,,
COMP_0266,74.69,76.71,SALUDABLE,DETERIORANDO,38.64,1,vigilancia,0,2025-03,1,2025-03,bache,18.77,1.36,9.63,liquidez +4.1; eficiencia +3.4,9.62,0.0,GROUP_0016,22,22,7.507,0.967,1.0,alta,1,75.84,,,,,
COMP_1196,74.56,76.74,SALUDABLE,MEJORANDO,59.37,1,vigilancia,0,2025-10,1,2025-10,caida_estructural,15.04,1.42,-0.94,deuda_comercial -3.6; trayectoria +2.9,-0.92,0.0,GROUP_0222,19,19,6.957,0.953,1.0,alta,1,82.85,,,,,
COMP_0669,74.38,81.25,SALUDABLE,ESTABLE,49.93,1,vigilancia,1,2026-08,1,2026-08,caida_estructural,14.87,1.89,-4.07,trayectoria -2.9; colchon -1.2,-4.07,0.0,GROUP_0007,6,6,2.182,0.88,0.88,media,1,74.97,,,,,
COMP_0335,74.35,78.9,SALUDABLE,MEJORANDO,66.29,1,vigilancia,0,2026-04,1,2026-04,bache,20.75,1.57,1.53,colchon +3.3; trayectoria -1.7,1.55,0.0,GROUP_0214,9,9,3.288,0.92,1.0,media,1,86.38,,,,,
COMP_0927,74.35,76.44,SALUDABLE,MEJORANDO,70.86,1,vigilancia,0,2025-07,1,2025-07,bache,26.18,1.79,-6.81,colchon -4.2; liquidez -2.7,-6.8,0.0,GROUP_0108,20,20,7.166,0.964,1.0,alta,1,81.47,,,,,
COMP_0455,74.27,76.41,SALUDABLE,DETERIORANDO,40.42,1,critica,1,2026-07,1,2026-07,caida_estructural,21.1,2.66,-24.59,liquidez -17.1; deuda_comercial -3.6,-24.6,0.0,GROUP_0222,19,19,6.957,0.953,1.0,alta,1,40.28,,,,,
COMP_0330,74.21,76.51,SALUDABLE,DETERIORANDO,31.15,1,vigilancia,1,2025-10,1,2025-10,caida_estructural,14.9,2.2,-0.69,eficiencia +2.0; colchon -1.9,-0.69,0.0,GROUP_0088,17,17,6.483,0.958,1.0,alta,1,68.51,,,,,
COMP_0067,74.17,77.9,SALUDABLE,ESTABLE,52.04,1,vigilancia,0,2025-10,1,2025-10,bache,50.99,1.92,-22.84,colchon -8.7; liquidez -5.6,-12.7,-10.14,GROUP_0064,15,15,3.967,0.872,0.923,alta,1,69.68,,,,,
COMP_0988,74.16,80.96,SALUDABLE,MEJORANDO,67.3,0,,0,,0,,,,,-3.38,trayectoria -1.9; colchon -1.5,-3.37,0.0,GROUP_0236,6,6,2.182,0.88,0.88,media,1,78.88,,,,,
COMP_0110,74.15,81.05,SALUDABLE,MEJORANDO,70.3,0,,0,,0,,,,,-5.39,trayectoria -3.0; colchon -2.3,-5.39,0.0,GROUP_0008,6,6,2.148,0.85,0.85,media,1,75.51,,,,,
COMP_0605,74.12,78.25,SALUDABLE,MEJORANDO,63.07,1,vigilancia,0,2026-03,1,2026-03,bache,14.39,1.44,-3.93,liquidez -2.7; colchon -2.3,-3.92,0.0,GROUP_0051,10,10,3.579,0.928,1.0,media,1,83.71,,,,,
COMP_0140,74.1,76.47,SALUDABLE,ESTABLE,44.21,1,critica,0,2025-06,0,,,,,-6.31,liquidez -2.7; cobro_clientes -2.3,-6.32,0.0,GROUP_0072,16,16,6.23,0.989,1.0,alta,1,67.93,,,,,
COMP_0997,74.07,78.19,SALUDABLE,ESTABLE,44.17,1,vigilancia,1,2026-03,1,2026-03,caida_estructural,14.26,1.51,3.72,colchon +4.8; trayectoria -1.2,3.72,0.0,GROUP_0117,10,10,3.579,0.928,1.0,media,1,71.58,,,,,
COMP_0112,73.97,76.15,SALUDABLE,DETERIORANDO,28.61,1,vigilancia,1,2026-06,1,2026-06,caida_estructural,19.82,2.54,-3.19,deuda_comercial -7.4; eficiencia +3.8,-3.19,0.0,GROUP_0222,18,18,6.738,0.96,1.0,alta,1,67.25,,,,,
COMP_0399,73.86,75.81,SALUDABLE,MEJORANDO,62.68,1,nivel_bajo,0,2025-01,1,2025-12,bache,29.31,1.37,-1.44,colchon -0.8; trayectoria -0.6,-1.42,0.0,GROUP_0115,22,22,7.507,0.967,1.0,alta,1,84.47,,,,,
COMP_0924,73.82,75.76,SALUDABLE,ESTABLE,51.81,1,nivel_bajo,0,2025-04,1,2025-04,bache,28.53,1.8,-2.92,trayectoria -2.9,-2.92,0.0,GROUP_0065,22,22,7.507,0.967,1.0,alta,1,88.28,0.0,1.0,,2.0,
COMP_1145,73.78,75.94,SALUDABLE,MEJORANDO,65.51,1,vigilancia,0,2025-04,1,2026-01,bache,9.56,1.46,2.97,eficiencia +2.0; colchon +1.3,2.97,0.0,GROUP_0092,18,18,6.738,0.96,1.0,alta,1,91.41,,,,,
COMP_0940,73.63,75.57,SALUDABLE,ESTABLE,57.45,1,critica,0,2025-02,0,,,,,-9.35,cobro_clientes -6.1; eficiencia -2.0,-9.35,0.0,GROUP_0217,19,19,7.423,0.991,1.0,alta,1,71.44,0.0,1.0,,,
COMP_0755,73.58,75.8,SALUDABLE,ESTABLE,49.21,1,vigilancia,1,2026-08,1,2026-08,caida_estructural,11.0,1.46,-10.97,colchon -4.8; trayectoria -4.5,-9.38,0.0,GROUP_0103,17,17,6.483,0.958,1.0,alta,1,55.19,,,,,
COMP_0912,73.52,76.24,SALUDABLE,ESTABLE,43.06,0,,0,,0,,,,,-12.2,eficiencia -7.1; liquidez -2.7,-12.2,0.0,GROUP_0185,11,11,5.265,0.967,1.0,media,1,69.58,,,,,
COMP_0241,73.47,75.38,SALUDABLE,MEJORANDO,69.5,1,vigilancia,0,2025-08,1,2025-08,bache,25.71,2.34,5.16,liquidez +2.7; trayectoria +2.6,5.17,0.0,GROUP_0050,22,22,7.507,0.967,1.0,alta,1,86.99,,,,,
COMP_0548,73.47,75.44,SALUDABLE,ESTABLE,55.07,1,vigilancia,1,2025-03,1,2026-07,caida_estructural,19.59,2.13,-6.22,cobro_clientes -6.0; colchon +1.3,-6.23,0.0,GROUP_0217,19,19,7.277,0.972,1.0,alta,1,60.06,0.0,1.0,,,
COMP_1231,73.46,80.01,SALUDABLE,DETERIORANDO,41.21,0,,0,,0,,,,,,,,,GROUP_0234,6,6,2.182,0.88,0.88,media,1,73.11,,,,,
COMP_0710,73.4,75.3,SALUDABLE,MEJORANDO,64.5,1,vigilancia,0,2025-05,1,2025-05,bache,29.26,2.04,3.7,trayectoria +2.3,2.11,0.0,GROUP_0146,22,22,7.507,0.967,1.0,alta,1,84.53,,,,,
COMP_0653,73.28,75.17,SALUDABLE,ESTABLE,44.72,1,vigilancia,1,2025-03,1,2026-08,bache,35.86,2.8,3.1,eficiencia +3.8; colchon +1.0,4.68,0.0,GROUP_0128,22,22,7.507,0.967,1.0,alta,1,57.16,,,,,
COMP_0555,73.17,75.04,SALUDABLE,ESTABLE,52.63,1,vigilancia,0,2025-03,1,2025-03,caida_estructural,23.13,2.42,-3.51,trayectoria -2.9; colchon +1.0,-1.91,0.0,GROUP_0106,22,22,7.507,0.967,1.0,alta,1,71.71,,,,,
COMP_0389,73.12,75.66,SALUDABLE,DETERIORANDO,36.26,1,vigilancia,1,2026-08,1,2026-08,bache,22.59,2.07,-2.84,liquidez -3.1; colchon +1.0,-2.81,0.0,GROUP_0150,14,14,5.517,0.949,1.0,alta,1,58.25,,,,,
COMP_0830,72.99,74.84,SALUDABLE,ESTABLE,49.75,1,vigilancia,0,2024-12,0,,,,,7.28,eficiencia +3.4; trayectoria +2.7,7.28,0.0,GROUP_0016,22,22,7.507,0.967,1.0,alta,1,89.11,1.0,1.0,5.0,,5.0
COMP_0087,72.97,74.83,SALUDABLE,ESTABLE,51.14,1,vigilancia,0,2025-03,1,2025-03,bache,20.16,1.43,-20.24,liquidez -14.0; eficiencia -3.4,-20.24,0.0,GROUP_0065,22,22,7.507,0.967,1.0,alta,1,56.4,,,,,
COMP_0768,72.97,76.33,SALUDABLE,ESTABLE,57.64,1,vigilancia,1,2026-07,1,2026-07,bache,22.44,1.73,4.73,trayectoria +3.7; colchon +1.0,4.73,0.0,GROUP_0127,11,11,4.15,0.935,1.0,media,1,68.33,,,,,
COMP_0748,72.91,74.75,SALUDABLE,MEJORANDO,63.44,1,vigilancia,0,2025-08,1,2025-08,bache,10.48,1.31,0.26,colchon +0.6,0.25,0.0,GROUP_0074,22,22,7.507,0.967,1.0,alta,1,78.67,,,,,
